,subject,sex,T3_AGE,trial,recall,skill
162.2,3058,Male,77.67556468,2,18,10
162.3,3058,Male,77.67556468,3,21,12
162.4,3058,Male,77.67556468,4,21,12
162.5,3058,Male,77.67556468,5,27,14
162.6,3058,Male,77.67556468,6,24,15
163,3059,Female,70.72416153,0,7,8
163.1,3059,Female,70.72416153,1,15,11
163.2,3059,Female,70.72416153,2,21,10
163.3,3059,Female,70.72416153,3,24,12
163.4,3059,Female,70.72416153,4,23,12
163.5,3059,Female,70.72416153,5,25,15
163.6,3059,Female,70.72416153,6,27,11
164,3060,Male,74.28062971,0,4,8
164.1,3060,Male,74.28062971,1,10,11
164.2,3060,Male,74.28062971,2,10,12
164.3,3060,Male,74.28062971,3,16,13
164.4,3060,Male,74.28062971,4,14,14
164.5,3060,Male,74.28062971,5,13,15
164.6,3060,Male,74.28062971,6,16,15
171,3067,Female,85.06228611,0,3,3
171.1,3067,Female,85.06228611,1,8,3
171.2,3067,Female,85.06228611,2,9,3
171.3,3067,Female,85.06228611,3,12,3
171.4,3067,Female,85.06228611,4,15,4
171.5,3067,Female,85.06228611,5,14,4
171.6,3067,Female,85.06228611,6,16,3
173,3069,Male,85.30869268,0,2,8
173.1,3069,Male,85.30869268,1,4,8
173.2,3069,Male,85.30869268,2,6,9
173.3,3069,Male,85.30869268,3,7,9
173.4,3069,Male,85.30869268,4,9,10
173.5,3069,Male,85.30869268,5,5,10
173.6,3069,Male,85.30869268,6,8,11
175,3071,Female,73.36071184,0,5,1
175.1,3071,Female,73.36071184,1,6,3
175.2,3071,Female,73.36071184,2,7,6
175.3,3071,Female,73.36071184,3,8,5
175.4,3071,Female,73.36071184,4,10,8
175.5,3071,Female,73.36071184,5,11,7
175.6,3071,Female,73.36071184,6,8,4
177,3073,Male,73.95482546,0,10,6
177.1,3073,Male,73.95482546,1,13,7
177.2,3073,Male,73.95482546,2,18,9
177.3,3073,Male,73.95482546,3,19,10
177.4,3073,Male,73.95482546,4,26,10
177.5,3073,Male,73.95482546,5,21,11
177.6,3073,Male,73.95482546,6,24,12
178,3074,Female,81.65913758,0,2,4
178.1,3074,Female,81.65913758,1,5,7
178.2,3074,Female,81.65913758,2,8,8
178.3,3074,Female,81.65913758,3,15,9
178.4,3074,Female,81.65913758,4,12,9
178.5,3074,Female,81.65913758,5,12,10
178.6,3074,Female,81.65913758,6,15,9
180,3077,Male,76.74743326,0,5,6
180.1,3077,Male,76.74743326,1,13,7
180.2,3077,Male,76.74743326,2,12,5
180.3,3077,Male,76.74743326,3,15,8
180.4,3077,Male,76.74743326,4,16,8
180.5,3077,Male,76.74743326,5,20,9
180.6,3077,Male,76.74743326,6,24,8
181,3078,Male,70.85010267,0,3,1
181.1,3078,Male,70.85010267,1,8,5
181.2,3078,Male,70.85010267,2,10,7
181.3,3078,Male,70.85010267,3,8,9
181.4,3078,Male,70.85010267,4,14,8
181.5,3078,Male,70.85010267,5,12,9
181.6,3078,Male,70.85010267,6,13,11
184,3081,Male,83.34839151,0,3,1
184.1,3081,Male,83.34839151,1,8,2
184.2,3081,Male,83.34839151,2,14,2
184.3,3081,Male,83.34839151,3,11,2
184.4,3081,Male,83.34839151,4,17,2
184.5,3081,Male,83.34839151,5,14,5
184.6,3081,Male,83.34839151,6,20,3
185,3082,Male,81.14989733,0,7,4
185.1,3082,Male,81.14989733,1,12,6
185.2,3082,Male,81.14989733,2,16,9
185.3,3082,Male,81.14989733,3,18,8
185.4,3082,Male,81.14989733,4,21,10
185.5,3082,Male,81.14989733,5,23,10
185.6,3082,Male,81.14989733,6,25,12
188,4001,Male,78.62833676,0,9,6
188.1,4001,Male,78.62833676,1,12,11
188.2,4001,Male,78.62833676,2,15,13
188.3,4001,Male,78.62833676,3,20,15
188.4,4001,Male,78.62833676,4,23,16
188.5,4001,Male,78.62833676,5,24,16
188.6,4001,Male,78.62833676,6,24,15
189,4002,Female,82.56262834,0,10,4
189.1,4002,Female,82.56262834,1,11,4
189.2,4002,Female,82.56262834,2,14,6
189.3,4002,Female,82.56262834,3,19,6
189.4,4002,Female,82.56262834,4,16,10
189.5,4002,Female,82.56262834,5,17,12
189.6,4002,Female,82.56262834,6,20,13
191,4004,Female,77.38809035,0,7,4
191.1,4004,Female,77.38809035,1,17,5
191.2,4004,Female,77.38809035,2,21,7
191.3,4004,Female,77.38809035,3,20,7
191.4,4004,Female,77.38809035,4,25,7
191.5,4004,Female,77.38809035,5,22,8
191.6,4004,Female,77.38809035,6,26,9
192,4005,Female,75.63039014,0,6,4
192.1,4005,Female,75.63039014,1,13,5
